name,price,distance,surge_multiplier
Lux Black XL,26,1.49,1
Lux Black,16.5,1.07,1
WAV,8,1.68,1
Shared,5,1.54,1
UberPool,9,3.3,1
Black,28.5,2.84,1
UberXL,12.5,1.51,1
Lux Black,22.5,2.43,1
Black,16,0.54,1
Lyft,13.5,4.6,1
UberX,14.5,6.27,1
Lyft,13.5,4.19,1
Lux Black XL,38.5,2.9,1
Shared,7,1.74,1
Lux Black XL,26,1.28,1
Lux Black,16.5,1.05,1
WAV,13,3.05,1
UberPool,6.5,1.56,1
Lyft,7,1.1,1
UberPool,10,2.66,1
Lux Black XL,26,1.76,1
Lux Black,16.5,0.64,1
Shared,10.5,5.36,1
Lux Black XL,26,1.32,1
UberX,10.5,3.01,1
UberXL,18,2.73,1
Lyft,10.5,2.82,1
Lux Black,19.5,1.99,1
WAV,9.5,2.14,1
Black,29.5,4.48,1
UberPool,6.5,0.98,1
Lyft XL,16.5,2.5,1
Lyft,16.5,3.94,1.25
Lyft,7,1.01,1
UberXL,20.5,4.48,1
Lux,11,0.66,1
Lyft,16.5,4.46,1.25
Lyft XL,16.5,2.45,1
Lyft,7,0.71,1
Lux Black,16.5,1.42,1
UberXL,16,2.66,1
Lux,27.5,4.69,1
Lux,19.5,2.61,1
Black SUV,26.5,1.22,1
Black,27,4.4,1
Lux Black,30,1.51,1.75
WAV,14,2.71,1
Lux Black,26,2.74,1
Lux Black XL,27.5,1.07,1
WAV,7.5,0.55,1
Lux Black,27.5,3.18,1
UberPool,7,0.86,1
UberPool,8.5,3.04,1
UberXL,13,2.05,1
Lyft XL,13.5,2.02,1
UberPool,7.5,1.3,1
UberX,8.5,1.16,1
UberPool,7,0.55,1
Lux Black,22.5,2.38,1
Shared,10.5,3.34,1
Shared,5,1.54,1
Lux Black XL,38.5,3.08,1
Lux,11,1,1
UberPool,9,3.1,1
Lux Black,22.5,2.4,1
Lux,13.5,1.38,1
Lux,19.5,3.16,1
Black SUV,28,2.84,1
Lyft,10.5,3.01,1
Lux Black XL,32.5,2.02,1
Lux Black,16.5,1.37,1
UberXL,17,3.19,1
Lyft XL,22.5,4.3,1
UberXL,30.5,4.4,1
Shared,5,0.54,1
Lux,13.5,1.07,1
WAV,20.5,6.91,1
UberXL,21.5,3.61,1
UberXL,11.5,1.34,1
Black,20.5,2.72,1
WAV,8.5,2.48,1
Lux Black XL,27.5,1.26,1
Lux,10.5,1.12,1
UberX,7,1.21,1
Shared,3,1.45,1
Black,16,1.16,1
UberX,10.5,0.49,1
UberX,8.5,1.35,1
Lyft XL,13.5,1.35,1
Lux Black XL,38,3.54,1
Black,22,2.4,1
Shared,10.5,4.55,1
Shared,5,1.72,1
Lux Black,22.5,2.44,1
Black SUV,26.5,1.46,1
Black,19.5,2.14,1
WAV,8,2.14,1
Shared,7,2.32,1
UberPool,11,2.45,1
UberXL,16,2.84,1
